task_id,title,description,priority,status,phase,estimated_effort,dependencies,branch_name,pr_template,test_file,notes
ARCH-20251103-005,Refactor generate_tasks.md,"Reduce generate_tasks.md from 363 lines to ~250 lines. Extract file search logic to library, use common validation functions, simplify bash blocks.",high,pending,phase-1,2,ARCH-20251103-001,refactor/phase1-foundation-20251103,refactoring.md,null,Foundation Phase - Week 5-6
ARCH-20251103-006,Update Phase 1 Documentation,"Update CLAUDE.md with library usage instructions, create .claude/lib/README.md, update .claude/commands/README.md, update CODE-REVIEW-QUALITY-CHECKLIST.md with library references.",high,pending,phase-1,2,ARCH-20251103-001,refactor/phase1-foundation-20251103,architecture.md,null,Foundation Phase - Week 7-8
DEVOPS-20251103-007,Create Integration Tests,"Create integration test suite in .claude/tests/integration/ for atomic-plan, generate_tasks, and execute-task workflows. Achieve 80%+ coverage.",high,pending,phase-1,3,ARCH-20251103-001,devops/quality-automation-20251103,operations.md,tests/test_integration_scaffold.sh,Foundation Phase - Week 7-8
ARCH-20251103-008,Split sprint-dashboard.md into 3 Commands,"Split sprint-dashboard.md (1404 lines) into /sprint-data (~300 lines), /sprint-report (~400 lines), /sprint-dashboard (~300 lines). Applies Single Responsibility Principle.",critical,pending,phase-2,5,ARCH-20251103-006,refactor/phase2-complexity-20251103,refactoring.md,tests/test_sprint_commands_scaffold.sh,Refactoring Phase - Week 9-10
ARCH-20251103-009,Split session-report.md into 2 Commands,Split session-report.md (1239 lines) into /session-data (~300 lines) and /session-report (~500 lines). Separates data collection from report generation.,critical,pending,phase-2,4,ARCH-20251103-006,refactor/phase2-complexity-20251103,refactoring.md,tests/test_session_commands_scaffold.sh,Refactoring Phase - Week 9-10
ARCH-20251103-010,Create Unified /workspace Command,"Consolidate 7 workspace commands into single /workspace command with subcommands (list, archive, cleanup, info, stats). Reduces command count from 16 to 10 (-37.5%).",critical,pending,phase-2,5,ARCH-20251103-006,refactor/phase2-complexity-20251103,refactoring.md,tests/test_workspace_unified_scaffold.sh,Refactoring Phase - Week 11-12
ARCH-20251103-011,Create Workspace Functions Library,"Create .claude/lib/workspace-functions.sh with workspace_list(), workspace_archive(), workspace_cleanup(), workspace_info(), workspace_stats(). Extract common workspace operations.",high,pending,phase-2,3,ARCH-20251103-010,refactor/phase2-complexity-20251103,refactoring.md,tests/test_workspace_lib_scaffold.sh,Refactoring Phase - Week 11-12
ARCH-20251103-012,Implement Tool Abstraction Interfaces,"Create .claude/lib/tool-interfaces.sh with file_read(), file_write(), search_files(), search_content(), invoke_analyzer_agent(). Apply Dependency Inversion Principle.",high,pending,phase-2,4,ARCH-20251103-006,refactor/phase2-complexity-20251103,refactoring.md,tests/test_interfaces_scaffold.sh,Refactoring Phase - Week 13-14
ARCH-20251103-013,Extract Dashboard Generation Library,"Create .claude/lib/dashboard-generator.sh with generate_html_header(), generate_metric_card(), generate_progress_bar(), generate_table(). Eliminates dashboard code duplication.",medium,pending,phase-2,3,ARCH-20251103-008,refactor/phase2-complexity-20251103,refactoring.md,tests/test_dashboard_lib_scaffold.sh,Refactoring Phase - Week 15-16
DEVOPS-20251103-014,Optimize Bash Script Performance,"Optimize commands for 50% faster execution: cache frequently-accessed data, parallelize independent operations, use efficient alternatives (awk vs multiple grep). Add benchmarks.",high,pending,phase-3,4,ARCH-20251103-013,devops/optimization-20251103,performance-optimization.md,tests/test_performance_scaffold.sh,Optimization Phase - Week 17-18
DEVOPS-20251103-015,Implement Caching System,"Create .claude/lib/cache.sh with cache_get(), cache_set(), cache_clear(). Implement 5-minute TTL caching for expensive operations. Integrate with 5+ commands.",high,pending,phase-3,2,DEVOPS-20251103-014,devops/optimization-20251103,performance-optimization.md,tests/test_cache_scaffold.sh,Optimization Phase - Week 17-18
DEVOPS-20251103-016,Implement Auto-fix for Common Issues,"Create .claude/scripts/auto-fix.sh to automatically fix formatting, update deprecated command references, fix linting errors, update documentation links. Integrate with pre-commit hooks.",medium,pending,phase-3,3,DEVOPS-20251103-002,devops/optimization-20251103,operations.md,tests/test_autofix_scaffold.sh,Optimization Phase - Week 19-20
DEVOPS-20251103-017,Create Command Usage Analytics,"Create .claude/lib/analytics.sh with log_command_execution(), generate_usage_report(). Track command usage, performance, failure rates. Generate weekly reports for data-driven improvements.",medium,pending,phase-3,3,none,devops/optimization-20251103,operations.md,tests/test_analytics_scaffold.sh,Optimization Phase - Week 19-20
ARCH-20251103-018,Comprehensive Documentation Update,"Create DEVELOPER-GUIDE.md, Architecture Decision Records (ADRs), API documentation, MIGRATION-GUIDE.md. Document all libraries, breaking changes, migration paths.",high,pending,phase-3,4,ARCH-20251103-013,refactor/phase3-optimization-20251103,architecture.md,null,Optimization Phase - Week 21-22
ARCH-20251103-019,Create Video Tutorials,"Create 4 tutorial videos: Getting Started (5 min), Code Review Workflow (10 min), Creating Commands (8 min), Best Practices (7 min). Host on YouTube with closed captions.",medium,pending,phase-3,5,ARCH-20251103-018,refactor/phase3-optimization-20251103,architecture.md,null,Optimization Phase - Week 21-22
DEVOPS-20251103-020,Comprehensive System Testing,"Execute regression testing, performance testing, security testing (OWASP), usability testing. Verify 100% test pass rate, 50% performance improvement, no security vulnerabilities.",critical,pending,phase-3,5,ARCH-20251103-019,devops/optimization-20251103,operations.md,tests/test_system_complete_scaffold.sh,Optimization Phase - Week 23-24
DEVOPS-20251103-021,Release v2.0,"Prepare v2.0 release: merge to main, version bump, write release notes, finalize migration guide, update documentation, activate deprecation warnings, announce release, document rollback plan.",critical,pending,phase-3,2,"DEVOPS-20251103-020,ARCH-20251103-019,ARCH-20251103-018",devops/optimization-20251103,operations.md,null,Optimization Phase - Week 23-24
